SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-CDC-UW23032243639/2023,GISAID; GenBank,EPI_ISL_17395803,OQ833311.1,2023-03-22,King County
USA/WA-UW-23021209364/2023,GISAID; GenBank,EPI_ISL_17579668,OQ503967.1,2023-02-12,King County
USA/WA-S23835/2023,GISAID; GenBank,EPI_ISL_18304347,OR597105.1,2023-02-20,King County
USA/WA-CDC-UW23030191683/2023,GISAID; GenBank,EPI_ISL_17205176,OQ625970.1,2023-03-01,King County
USA/WA-CDC-UW23021245134/2023,GISAID; GenBank,EPI_ISL_16999625,OQ472774.1,2023-02-12,King County
USA/WA-CDC-UW23030139808/2023,GISAID; GenBank,EPI_ISL_17205179,OQ625978.1,2023-03-01,King County
USA/WA-CDC-QDX47312316/2023,GISAID; GenBank,EPI_ISL_17237638,OQ643218.1,2023-02-24,King County
USA/WA-UW-23021284142/2023,GISAID; GenBank,EPI_ISL_17579056,OQ503935.1,2023-02-12,King County
USA/WA-CDC-UW23040893185/2023,GISAID; GenBank,EPI_ISL_17544546,OQ870933.1,2023-04-08,King County
USA/WA-CDC-UW23030176063/2023,GISAID; GenBank,EPI_ISL_17205173,OQ625973.1,2023-03-01,King County
USA/WA-CDC-UW23032271696/2023,GISAID; GenBank,EPI_ISL_17394921,OQ833316.1,2023-03-22,King County
USA/WA-CDC-UW23030196972/2023,GISAID; GenBank,EPI_ISL_17198204,OQ625969.1,2023-03-01,King County
USA/WA-CDC-UW23021283796/2023,GISAID; GenBank,EPI_ISL_16999633,OQ472779.1,2023-02-12,King County
USA/WA-S24414/2023,GISAID; GenBank,EPI_ISL_18720356,PP082291.1,2023-10-29,King County
USA/WA-CDC-UW23030142184/2023,GISAID; GenBank,EPI_ISL_17198425,OQ619223.1,2023-03-01,King County
USA/WA-CDC-UW23021471133/2023,GISAID; GenBank,EPI_ISL_17078880,OQ589128.1,2023-02-14,King County
USA/WA-UW-23021385235/2023,GISAID; GenBank,EPI_ISL_17580729,OQ568151.1,2023-02-13,King County
USA/WA-CDC-UW23021439923/2023,GISAID; GenBank,EPI_ISL_17078878,OQ589152.1,2023-02-14,King County
USA/WA-UW-23021356224/2023,GISAID; GenBank,EPI_ISL_17578870,OQ568065.1,2023-02-13,King County
USA/WA-UW-23021288939/2023,GISAID; GenBank,EPI_ISL_17580649,OQ503906.1,2023-02-12,King County
USA/WA-CDC-UW23030125221/2023,GISAID; GenBank,EPI_ISL_17198432,OQ619228.1,2023-03-01,King County
USA/WA-CDC-UW23030179571/2023,GISAID; GenBank,EPI_ISL_17198429,OQ619227.1,2023-03-01,King County
USA/WA-CDC-UW23021272639/2023,GISAID; GenBank,EPI_ISL_16999631,OQ472777.1,2023-02-12,King County
USA/WA-S24333/2023,GISAID; GenBank,EPI_ISL_18720277,PP082212.1,2023-09-22,King County
USA/WA-CDC-UW23052615575/2023,GISAID; GenBank,EPI_ISL_17768849,OR098948.1,2023-05-26,King County
USA/WA-CDC-LC1062885/2023,GISAID; GenBank,EPI_ISL_18369124,OR649445.1,2023-09-22,King County
USA/WA-CDC-UW23052863031/2023,GISAID; GenBank,EPI_ISL_17768848,OR098949.1,2023-05-28,King County
USA/WA-CDC-UW23032721157/2023,GISAID; GenBank,EPI_ISL_17395692,OQ833497.1,2023-03-27,King County
USA/WA-CDC-UW23041311251/2023,GISAID; GenBank,EPI_ISL_17544500,OQ870973.1,2023-04-13,King County
USA/WA-CDC-LC1014420/2023,GISAID; GenBank,EPI_ISL_17146041,OQ582782.1,2023-02-11,King County
USA/WA-CDC-UW23032359245/2023,GISAID; GenBank,EPI_ISL_17394878,OQ833376.1,2023-03-23,King County
USA/WA-UW-23030880379/2023,GISAID; GenBank,EPI_ISL_17760018,OQ673685.1,2023-03-08,King County
USA/WA-CDC-UW23032340589/2023,GISAID; GenBank,EPI_ISL_17394898,OQ833357.1,2023-03-23,King County
USA/WA-UW-23032967749/2023,,,,2023-03-29,King County
USA/WA-CDC-UW23030176217/2023,GISAID; GenBank,EPI_ISL_17198436,OQ619239.1,2023-03-01,King County
USA/WA-S23662/2023,GISAID; GenBank,EPI_ISL_17977383,OR250892.1,2023-05-31,King County
USA/WA-CDC-UW23032325028/2023,GISAID; GenBank,EPI_ISL_17394871,OQ833370.1,2023-03-23,King County
USA/WA-CDC-UW23032365071/2023,GISAID; GenBank,EPI_ISL_17394884,OQ833363.1,2023-03-23,King County
USA/WA-CDC-UW23032314583/2023,GISAID; GenBank,EPI_ISL_17394873,OQ833374.1,2023-03-23,King County
USA/WA-S23597/2023,GISAID; GenBank,EPI_ISL_17977319,OR250838.1,2023-05-01,King County
USA/WA-UW-23021312612/2023,GISAID; GenBank,EPI_ISL_17580764,OQ503942.1,2023-02-13,King County
USA/WA-CDC-UW23032349807/2023,GISAID; GenBank,EPI_ISL_17394900,OQ833355.1,2023-03-23,King County
USA/WA-CDC-LC1049793/2023,GISAID; GenBank,EPI_ISL_18121115,OR465106.1,2023-08-01,King County
USA/WA-CDC-UW23031372808/2023,GISAID; GenBank,EPI_ISL_17322242,OQ704382.1,2023-03-13,King County
USA/WA-CDC-UW23030652692/2023,GISAID; GenBank,EPI_ISL_17253350,OQ674566.1,2023-03-06,King County
USA/WA-CDC-UW23032343616/2023,GISAID; GenBank,EPI_ISL_17394881,OQ833366.1,2023-03-23,King County
USA/WA-UW-23021397065/2023,GISAID; GenBank,EPI_ISL_17579824,OQ568119.1,2023-02-13,King County
USA/WA-S23673/2023,GISAID; GenBank,EPI_ISL_17977394,OR250901.1,2023-06-04,King County
USA/WA-CDC-UW23021790292/2023,GISAID; GenBank,EPI_ISL_17074712,OQ589245.1,2023-02-17,King County
USA/WA-CDC-UW23032323701/2023,GISAID; GenBank,EPI_ISL_17394876,OQ833379.1,2023-03-23,King County
USA/WA-CDC-LC1024864/2023,GISAID; GenBank,EPI_ISL_17237021,OQ642673.1,2023-03-01,King County
USA/WA-S24528/2023,GISAID; GenBank,EPI_ISL_18879195,PP319449.1,2023-10-04,King County
USA/WA-UW-23021354567/2023,GISAID; GenBank,EPI_ISL_17579760,OQ568124.1,2023-02-13,King County
USA/WA-CDC-UW23032364993/2023,GISAID; GenBank,EPI_ISL_17394888,OQ833365.1,2023-03-23,King County
USA/WA-CDC-UW23032509704/2023,GISAID; GenBank,EPI_ISL_17395743,OQ833442.1,2023-03-25,King County
USA/WA-CDC-UW23032430989/2023,GISAID; GenBank,EPI_ISL_17395762,OQ833381.1,2023-03-24,King County
USA/WA-CDC-UW23040177407/2023,GISAID; GenBank,EPI_ISL_17431054,OQ799230.1,2023-04-01,King County
USA/WA-UW-23021385058/2023,GISAID; GenBank,EPI_ISL_17580301,OQ568104.1,2023-02-13,King County
USA/WA-CDC-UW23032331828/2023,GISAID; GenBank,EPI_ISL_17394901,OQ833354.1,2023-03-23,King County
USA/WA-UW-23021370140/2023,GISAID; GenBank,EPI_ISL_17579978,OQ503969.1,2023-02-13,King County
USA/WA-UW-23021374673/2023,GISAID; GenBank,EPI_ISL_17579621,OQ568117.1,2023-02-13,King County
USA/WA-UW-23030217592/2023,GISAID; GenBank,EPI_ISL_17759936,OQ673727.1,2023-03-02,King County
USA/WA-CDC-UW23033129670/2023,GISAID; GenBank,EPI_ISL_17431080,OQ799214.1,2023-03-31,King County
USA/WA-UW-23030243561/2023,GISAID; GenBank,EPI_ISL_17759948,OQ673721.1,2023-03-02,King County
USA/WA-UW-23030242898/2023,GISAID; GenBank,EPI_ISL_17759947,OQ673704.1,2023-03-02,King County
USA/WA-UW-23030252832/2023,GISAID; GenBank,EPI_ISL_17759952,OQ673728.1,2023-03-02,King County
USA/WA-UW-23021300028/2023,GISAID; GenBank,EPI_ISL_17580187,OQ503948.1,2023-02-13,King County
USA/WA-UW-23030292673/2023,GISAID; GenBank,EPI_ISL_17759973,OQ673797.1,2023-03-02,King County
USA/WA-CDC-UW23092896135/2023,GISAID; GenBank,EPI_ISL_18379364,OR660540.1,2023-09-28,King County
USA/WA-CDC-UW23061018767/2023,GISAID; GenBank,EPI_ISL_17843112,OR196684.1,2023-06-10,King County
USA/WA-S22826/2023,GISAID; GenBank,EPI_ISL_17395184,OQ738381.1,2023-02-28,King County
USA/WA-S22893/2023,GISAID; GenBank,EPI_ISL_17395250,OQ738440.1,2023-03-10,King County
USA/WA-S22827/2023,GISAID,EPI_ISL_17395185,,2023-02-28,King County
USA/WA-CDC-UW23030248490/2023,GISAID; GenBank,EPI_ISL_17198420,OQ619243.1,2023-03-02,King County
USA/WA-UW-23030265609/2023,GISAID; GenBank,EPI_ISL_17759958,OQ673757.1,2023-03-02,King County
USA/WA-UW-23030234706/2023,GISAID; GenBank,EPI_ISL_17759944,OQ673754.1,2023-03-02,King County
USA/WA-UW-23021344960/2023,GISAID; GenBank,EPI_ISL_17579574,OQ503899.1,2023-02-13,King County
USA/WA-UW-23030202014/2023,GISAID; GenBank,EPI_ISL_17759929,OQ673761.1,2023-03-02,King County
USA/WA-UW-23030289222/2023,GISAID; GenBank,EPI_ISL_17759972,OQ673737.1,2023-03-02,King County
USA/WA-S23676/2023,GISAID; GenBank,EPI_ISL_17977397,OR250904.1,2023-06-05,King County
USA/WA-CDC-LC1049844/2023,GISAID; GenBank,EPI_ISL_18121197,OR465188.1,2023-08-03,King County
USA/WA-CDC-UW23032538965/2023,GISAID; GenBank,EPI_ISL_17394847,OQ833440.1,2023-03-25,King County
USA/WA-CDC-QDX47418435/2023,GISAID; GenBank,EPI_ISL_17249578,OQ654191.1,2023-03-01,King County
USA/WA-UW-23021375917/2023,GISAID; GenBank,EPI_ISL_17578786,OQ503890.1,2023-02-13,King County
USA/WA-UW-23021319442/2023,GISAID; GenBank,EPI_ISL_17580315,OQ503901.1,2023-02-13,King County
USA/WA-UW-23021310774/2023,GISAID; GenBank,EPI_ISL_17579788,OQ568098.1,2023-02-13,King County
USA/WA-UW-23021324308/2023,GISAID; GenBank,EPI_ISL_17578808,OQ503882.1,2023-02-13,King County
USA/WA-CDC-UW23092925545/2023,GISAID; GenBank,EPI_ISL_18379368,OR660544.1,2023-09-29,King County
USA/WA-CDC-UW23032462019/2023,GISAID; GenBank,EPI_ISL_17395769,OQ833413.1,2023-03-24,King County
USA/WA-CDC-UW23040159360/2023,GISAID; GenBank,EPI_ISL_17431046,OQ799238.1,2023-04-01,King County
USA/WA-UW-23030240408/2023,GISAID; GenBank,EPI_ISL_17759946,OQ673742.1,2023-03-02,King County
USA/WA-CDC-UW23032479297/2023,GISAID; GenBank,EPI_ISL_17395747,OQ833404.1,2023-03-24,King County
USA/WA-UW-23021332847/2023,GISAID; GenBank,EPI_ISL_17580404,OQ568067.1,2023-02-13,King County
USA/WA-UW-23030249931/2023,GISAID; GenBank,EPI_ISL_17759951,OQ673740.1,2023-03-02,King County
USA/WA-UW-23030230545/2023,GISAID; GenBank,EPI_ISL_17759942,OQ673759.1,2023-03-02,King County
USA/WA-CDC-UW23033046007/2023,GISAID,EPI_ISL_17431121,,2023-03-30,King County
USA/WA-UW-23030253689/2023,GISAID; GenBank,EPI_ISL_17759953,OQ673764.1,2023-03-02,King County
USA/WA-S23851/2023,GISAID; GenBank,EPI_ISL_18304358,OR597121.1,2023-06-14,King County
USA/WA-UW-23021321569/2023,,,,2023-02-13,King County
USA/WA-UW-23021182781/2023,GISAID; GenBank,EPI_ISL_17580026,OQ503988.1,2023-02-11,King County
USA/WA-UW-23030283782/2023,GISAID; GenBank,EPI_ISL_17759968,OQ673723.1,2023-03-02,King County
USA/WA-CDC-UW23031104294/2023,GISAID; GenBank,EPI_ISL_17253229,OQ674683.1,2023-03-11,King County
USA/WA-UW-23030227917/2023,GISAID; GenBank,EPI_ISL_17759940,OQ673756.1,2023-03-02,King County
USA/WA-UW-23021877118/2023,GISAID; GenBank,EPI_ISL_17580130,OQ567964.1,2023-02-18,King County
USA/WA-UW-23021359205/2023,GISAID; GenBank,EPI_ISL_17579076,OQ568069.1,2023-02-13,King County
USA/WA-CDC-UW23030458563/2023,GISAID; GenBank,EPI_ISL_17198349,OQ619298.1,2023-03-04,King County
USA/WA-PHL-032773/2023,GISAID; GenBank,EPI_ISL_17258633,PQ386016.1,2023-02-13,King County
USA/WA-CDC-UW23032447785/2023,GISAID; GenBank,EPI_ISL_17394867,OQ833398.1,2023-03-24,King County
USA/WA-S24176/2023,GISAID; GenBank,EPI_ISL_18615711,OR948742.1,2023-10-04,King County
USA/WA-CDC-UW23032420825/2023,GISAID; GenBank,EPI_ISL_17395759,OQ833385.1,2023-03-24,King County
USA/WA-CDC-LC1014320/2023,GISAID; GenBank,EPI_ISL_17146115,OQ582856.1,2023-02-12,King County
USA/WA-CDC-UW23020361027/2023,GISAID; GenBank,EPI_ISL_16910538,OQ443319.1,2023-02-03,King County
USA/WA-CDC-UW23032489364/2023,GISAID; GenBank,EPI_ISL_17395765,OQ833397.1,2023-03-24,King County
USA/WA-CDC-UW23032471832/2023,GISAID; GenBank,EPI_ISL_17395764,OQ833394.1,2023-03-24,King County
USA/WA-CDC-UW23021496754/2023,GISAID; GenBank,EPI_ISL_17078872,OQ589162.1,2023-02-14,King County
USA/WA-CDC-UW23021498743/2023,GISAID; GenBank,EPI_ISL_17078853,OQ589132.1,2023-02-14,King County
USA/WA-UW-23030280978/2023,GISAID; GenBank,EPI_ISL_17759967,OQ673706.1,2023-03-02,King County
USA/WA-CDC-UW23021444947/2023,GISAID; GenBank,EPI_ISL_17078874,OQ589156.1,2023-02-14,King County
USA/WA-CDC-UW23021498130/2023,GISAID; GenBank,EPI_ISL_17078871,OQ589159.1,2023-02-14,King County
USA/WA-CDC-UW23021459815/2023,GISAID; GenBank,EPI_ISL_17078841,OQ589144.1,2023-02-14,King County
USA/WA-CDC-UW23021417217/2023,GISAID; GenBank,EPI_ISL_17078859,OQ589158.1,2023-02-14,King County
USA/WA-CDC-LC1025175/2023,GISAID; GenBank,EPI_ISL_17237199,OQ642777.1,2023-03-01,King County
USA/WA-S22915/2023,GISAID; GenBank,EPI_ISL_17395272,OQ738459.1,2023-03-13,King County
USA/WA-CDC-UW23021495051/2023,GISAID; GenBank,EPI_ISL_17078846,OQ589139.1,2023-02-14,King County
USA/WA-UW-23021403319/2023,GISAID; GenBank,EPI_ISL_17580623,OQ568128.1,2023-02-14,King County
USA/WA-CDC-UW23030300759/2023,GISAID; GenBank,EPI_ISL_17198414,OQ619267.1,2023-03-03,King County
USA/WA-CDC-UW23021483324/2023,GISAID; GenBank,EPI_ISL_17078844,OQ589141.1,2023-02-14,King County
USA/WA-CDC-UW23032502195/2023,GISAID; GenBank,EPI_ISL_17394857,OQ833430.1,2023-03-25,King County
USA/WA-CDC-UW23032599841/2023,GISAID; GenBank,EPI_ISL_17394859,OQ833432.1,2023-03-25,King County
USA/WA-CDC-UW23021412171/2023,GISAID; GenBank,EPI_ISL_17078861,OQ589171.1,2023-02-14,King County
USA/WA-CDC-UW23021566675/2023,GISAID; GenBank,EPI_ISL_17078838,OQ589191.1,2023-02-15,King County
USA/WA-CDC-UW23032507585/2023,GISAID; GenBank,EPI_ISL_17394849,OQ833422.1,2023-03-25,King County
USA/WA-CDC-UW23032525971/2023,GISAID; GenBank,EPI_ISL_17394858,OQ833431.1,2023-03-25,King County
USA/WA-CDC-UW23021498657/2023,GISAID; GenBank,EPI_ISL_17078857,OQ589148.1,2023-02-14,King County
USA/WA-CDC-UW23021425610/2023,GISAID; GenBank,EPI_ISL_17078855,OQ589130.1,2023-02-14,King County
USA/WA-CDC-UW23032500250/2023,GISAID; GenBank,EPI_ISL_17394843,OQ833439.1,2023-03-25,King County
USA/WA-UW-24020186380/2024,GISAID; GenBank,EPI_ISL_19138314,PP492611.1,2024-02-01,King County
USA/WA-CDC-LC1045644/2023,GISAID; GenBank,EPI_ISL_17979138,OR252061.1,2023-06-23,King County
USA/WA-CDC-UW23040237107/2023,GISAID; GenBank,EPI_ISL_17431032,OQ799277.1,2023-04-02,King County
USA/WA-CDC-UW23032562879/2023,GISAID; GenBank,EPI_ISL_17394846,OQ833420.1,2023-03-25,King County
USA/WA-CDC-UW23032554302/2023,GISAID; GenBank,EPI_ISL_17394852,OQ833425.1,2023-03-25,King County
USA/WA-PHL-033053/2023,GISAID; GenBank,EPI_ISL_17509717,PQ372749.1,2023-03-21,King County
USA/WA-UW-23030761855/2023,GISAID; GenBank,EPI_ISL_17759996,OQ673766.1,2023-03-07,King County
USA/WA-S23691/2023,GISAID; GenBank,EPI_ISL_18187699,OR509399.1,2023-06-25,King County
USA/WA-CDC-UW23030355092/2023,GISAID; GenBank,EPI_ISL_17198384,OQ619280.1,2023-03-03,King County
USA/WA-UW-23021483201/2023,,,,2023-02-14,King County
USA/WA-S23699/2023,GISAID; GenBank,EPI_ISL_18187707,OR509407.1,2023-06-30,King County
USA/WA-CDC-UW23040128310/2023,GISAID; GenBank,EPI_ISL_17431047,OQ799245.1,2023-04-01,King County
USA/WA-CDC-UW23100688835/2023,GISAID; GenBank,EPI_ISL_18403940,OR686348.1,2023-10-06,King County
USA/WA-CDC-UW23032515183/2023,GISAID; GenBank,EPI_ISL_17395744,OQ833441.1,2023-03-25,King County
USA/WA-CDC-UW23032562791/2023,GISAID; GenBank,EPI_ISL_17395742,OQ833443.1,2023-03-25,King County
USA/WA-CDC-UW23030323992/2023,GISAID; GenBank,EPI_ISL_17198393,OQ619252.1,2023-03-03,King County
USA/WA-CDC-UW23030337252/2023,GISAID; GenBank,EPI_ISL_17198404,OQ619261.1,2023-03-03,King County
USA/WA-CDC-UW23030336836/2023,GISAID; GenBank,EPI_ISL_17198403,OQ619262.1,2023-03-03,King County
USA/WA-CDC-UW23030304121/2023,GISAID; GenBank,EPI_ISL_17198409,OQ619272.1,2023-03-03,King County
USA/WA-CDC-UW23030378699/2023,GISAID; GenBank,EPI_ISL_17198390,OQ619256.1,2023-03-03,King County
USA/WA-CDC-UW23030355562/2023,GISAID; GenBank,EPI_ISL_17198379,OQ619287.1,2023-03-03,King County
USA/WA-S23696/2023,GISAID; GenBank,EPI_ISL_18187704,OR509404.1,2023-06-28,King County
USA/WA-S23859/2023,GISAID; GenBank,EPI_ISL_18304365,OR597129.1,2023-07-04,King County
USA/WA-CDC-UW23030309259/2023,GISAID; GenBank,EPI_ISL_17198386,OQ619279.1,2023-03-03,King County
USA/WA-CDC-UW23021463402/2023,GISAID; GenBank,EPI_ISL_17078870,OQ589160.1,2023-02-14,King County
USA/WA-CDC-UW23032643739/2023,GISAID; GenBank,EPI_ISL_17395725,OQ833446.1,2023-03-26,King County
USA/WA-CDC-UW23070334739/2023,GISAID; GenBank,EPI_ISL_17994129,OR294380.1,2023-07-03,King County
USA/WA-CDC-UW23030305332/2023,GISAID; GenBank,EPI_ISL_17198392,OQ619251.1,2023-03-03,King County
USA/WA-CDC-LC1065064/2023,GISAID; GenBank,EPI_ISL_18430511,OR722232.1,2023-10-03,King County
USA/WA-CDC-UW23032652852/2023,GISAID; GenBank,EPI_ISL_17395731,OQ833455.1,2023-03-26,King County
USA/WA-CDC-LC1065124/2023,GISAID; GenBank,EPI_ISL_18430567,OR722288.1,2023-10-04,King County
USA/WA-CDC-UW23030380039/2023,GISAID; GenBank,EPI_ISL_17198380,OQ619288.1,2023-03-03,King County
USA/WA-CDC-UW23030349380/2023,GISAID; GenBank,EPI_ISL_17198385,OQ619281.1,2023-03-03,King County
USA/WA-CDC-LC1046093/2023,GISAID; GenBank,EPI_ISL_18005311,OR294402.1,2023-06-29,King County
USA/WA-CDC-LC1046059/2023,GISAID; GenBank,EPI_ISL_18005317,OR294408.1,2023-06-29,King County
USA/WA-CDC-LC1016248/2023,GISAID; GenBank,EPI_ISL_17223921,OQ631147.1,2023-02-13,King County
USA/WA-CDC-UW23032604215/2023,GISAID; GenBank,EPI_ISL_17395728,OQ833458.1,2023-03-26,King County
USA/WA-CDC-UW23030353302/2023,GISAID; GenBank,EPI_ISL_17198397,OQ619248.1,2023-03-03,King County
USA/WA-CDC-UW23030315899/2023,GISAID; GenBank,EPI_ISL_17198395,OQ619250.1,2023-03-03,King County
USA/WA-CDC-UW23032629431/2023,GISAID; GenBank,EPI_ISL_17395738,OQ833448.1,2023-03-26,King County
USA/WA-CDC-UW23030325281/2023,GISAID; GenBank,EPI_ISL_17198387,OQ619273.1,2023-03-03,King County
USA/WA-CDC-UW23032683201/2023,GISAID; GenBank,EPI_ISL_17395730,OQ833456.1,2023-03-26,King County
USA/WA-S23703/2023,GISAID; GenBank,EPI_ISL_18187711,OR509411.1,2023-07-02,King County
USA/WA-UW-23030849909/2023,GISAID; GenBank,EPI_ISL_17760009,OQ673817.1,2023-03-08,King County
USA/WA-CDC-UW23030316224/2023,GISAID; GenBank,EPI_ISL_17198410,OQ619271.1,2023-03-03,King County
USA/WA-S23709/2023,GISAID; GenBank,EPI_ISL_18187717,OR509417.1,2023-07-03,King County
USA/WA-ASC-210968453/2023,GISAID,EPI_ISL_17212378,,2023-02-13,King County
USA/WA-CDC-UW23030336679/2023,GISAID; GenBank,EPI_ISL_17198399,OQ619245.1,2023-03-03,King County
USA/WA-CDC-UW23030376969/2023,GISAID; GenBank,EPI_ISL_17198388,OQ619258.1,2023-03-03,King County
USA/WA-UW-23031067258/2023,GISAID; GenBank,EPI_ISL_17760064,OQ673799.1,2023-03-10,King County
USA/WA-CDC-UW23030452867/2023,GISAID; GenBank,EPI_ISL_17198372,OQ619314.1,2023-03-04,King County
USA/WA-CDC-UW23030477615/2023,GISAID; GenBank,EPI_ISL_17198371,OQ619310.1,2023-03-04,King County
USA/WA-CDC-UW23100999479/2023,GISAID; GenBank,EPI_ISL_18430309,OR722036.1,2023-10-09,King County
USA/WA-CDC-UW23030482757/2023,GISAID; GenBank,EPI_ISL_17198360,OQ619320.1,2023-03-04,King County
USA/WA-CDC-UW23030422906/2023,GISAID; GenBank,EPI_ISL_17198345,OQ619302.1,2023-03-04,King County
USA/WA-S24331/2023,GISAID; GenBank,EPI_ISL_18720275,PP082210.1,2023-09-22,King County
USA/WA-CDC-UW23030432396/2023,GISAID; GenBank,EPI_ISL_17198362,OQ619318.1,2023-03-04,King County
USA/WA-UW-23021871048/2023,GISAID; GenBank,EPI_ISL_17580515,OQ568028.1,2023-02-18,King County
USA/WA-CDC-UW23030453120/2023,GISAID; GenBank,EPI_ISL_17198370,OQ619311.1,2023-03-04,King County
USA/WA-UW-23021564910/2023,GISAID; GenBank,EPI_ISL_17579373,OQ568101.1,2023-02-15,King County
USA/WA-CDC-UW23030651992/2023,GISAID; GenBank,EPI_ISL_17198303,OQ619359.1,2023-03-06,King County
USA/WA-CDC-UW23101055578/2023,GISAID; GenBank,EPI_ISL_18430313,OR722040.1,2023-10-10,King County
USA/WA-CDC-UW23070870484/2023,GISAID; GenBank,EPI_ISL_18040091,OR349701.1,2023-07-08,King County
USA/WA-CDC-UW23032766414/2023,GISAID; GenBank,EPI_ISL_17395712,OQ833483.1,2023-03-27,King County
USA/WA-CDC-UW23030427148/2023,GISAID; GenBank,EPI_ISL_17198357,OQ619306.1,2023-03-04,King County
USA/WA-CDC-UW23030445930/2023,GISAID; GenBank,EPI_ISL_17198344,OQ619303.1,2023-03-04,King County
USA/WA-CDC-UW23032780849/2023,GISAID; GenBank,EPI_ISL_17395707,OQ833477.1,2023-03-27,King County
USA/WA-CDC-UW23021544850/2023,GISAID; GenBank,EPI_ISL_17078825,OQ589203.1,2023-02-15,King County
USA/WA-CDC-UW23030489320/2023,GISAID; GenBank,EPI_ISL_17198352,OQ619296.1,2023-03-04,King County
USA/WA-CDC-UW23030410185/2023,GISAID; GenBank,EPI_ISL_17198343,OQ619299.1,2023-03-04,King County
USA/WA-CDC-LC1138156/2025,,,,2025-06-04,King County
USA/WA-CDC-UW23032704458/2023,GISAID; GenBank,EPI_ISL_17395705,OQ833475.1,2023-03-27,King County
USA/WA-CDC-UW23030467304/2023,GISAID; GenBank,EPI_ISL_17198363,OQ619317.1,2023-03-04,King County
USA/WA-CDC-UW23030450128/2023,GISAID; GenBank,EPI_ISL_17198346,OQ619301.1,2023-03-04,King County
USA/WA-CDC-UW23030435522/2023,GISAID; GenBank,EPI_ISL_17198369,OQ619312.1,2023-03-04,King County
USA/WA-UW-23021523899/2023,GISAID; GenBank,EPI_ISL_17579585,OQ568076.1,2023-02-15,King County
USA/WA-UW-23030885940/2023,GISAID; GenBank,EPI_ISL_17760022,OQ673671.1,2023-03-08,King County
USA/WA-CDC-UW23030405589/2023,GISAID; GenBank,EPI_ISL_17198356,OQ619307.1,2023-03-04,King County
USA/WA-S24394/2023,GISAID; GenBank,EPI_ISL_18720336,PP082271.1,2023-10-14,King County
USA/WA-CDC-LC1028544/2023,GISAID; GenBank,EPI_ISL_17279047,OQ681858.1,2023-03-11,King County
USA/WA-CDC-LC1024998/2023,GISAID; GenBank,EPI_ISL_17237370,OQ642948.1,2023-03-03,King County
USA/WA-CDC-UW23071231040/2023,GISAID; GenBank,EPI_ISL_18040081,OR349714.1,2023-07-12,King County
USA/WA-CDC-LC1025000/2023,GISAID; GenBank,EPI_ISL_17237366,OQ642944.1,2023-03-03,King County
USA/WA-CDC-UW23032799488/2023,GISAID; GenBank,EPI_ISL_17395697,OQ833502.1,2023-03-27,King County
USA/WA-CDC-UW23100124221/2023,GISAID; GenBank,EPI_ISL_18379372,OR660548.1,2023-10-01,King County
USA/WA-CDC-UW23032745666/2023,GISAID; GenBank,EPI_ISL_17395690,OQ833494.1,2023-03-27,King County
USA/WA-CDC-UW23030463260/2023,GISAID; GenBank,EPI_ISL_17198353,OQ619295.1,2023-03-04,King County
USA/WA-CDC-UW23120925521/2023,GISAID; GenBank,EPI_ISL_18691638,PP000291.1,2023-12-09,King County
USA/WA-CDC-UW23040255590/2023,GISAID; GenBank,EPI_ISL_17431033,OQ799278.1,2023-04-02,King County
USA/WA-CDC-UW23021526279/2023,GISAID; GenBank,EPI_ISL_17078839,OQ589190.1,2023-02-15,King County
USA/WA-UW-23031031427/2023,GISAID; GenBank,EPI_ISL_17760051,OQ673802.1,2023-03-10,King County
USA/WA-CDC-UW23030477644/2023,GISAID; GenBank,EPI_ISL_17198358,OQ619309.1,2023-03-04,King County
USA/WA-CDC-UW23030538770/2023,GISAID; GenBank,EPI_ISL_17198340,OQ619345.1,2023-03-05,King County
USA/WA-CDC-UW23032775678/2023,GISAID; GenBank,EPI_ISL_17395723,OQ833492.1,2023-03-27,King County
USA/WA-CDC-LC1065940/2023,GISAID; GenBank,EPI_ISL_18531569,OR814323.1,2023-10-09,King County
USA/WA-CDC-UW23032752699/2023,GISAID; GenBank,EPI_ISL_17395685,OQ833464.1,2023-03-27,King County
USA/WA-CDC-UW23071426970/2023,GISAID; GenBank,EPI_ISL_18040071,OR349723.1,2023-07-14,King County
USA/WA-CDC-UW23021510611/2023,GISAID; GenBank,EPI_ISL_17078805,OQ589210.1,2023-02-15,King County
USA/WA-UW-23030954975/2023,GISAID; GenBank,EPI_ISL_17760033,OQ673720.1,2023-03-09,King County
USA/WA-CDC-UW23071420958/2023,GISAID; GenBank,EPI_ISL_18040072,OR349722.1,2023-07-14,King County
USA/WA-CDC-UW23071592460/2023,GISAID; GenBank,EPI_ISL_18040065,OR349727.1,2023-07-15,King County
USA/WA-CDC-UW23030517023/2023,GISAID; GenBank,EPI_ISL_17198333,OQ619348.1,2023-03-05,King County
USA/WA-CDC-UW23030563508/2023,GISAID; GenBank,EPI_ISL_17198324,OQ619324.1,2023-03-05,King County
USA/WA-CDC-UW23030567100/2023,GISAID; GenBank,EPI_ISL_17198335,OQ619352.1,2023-03-05,King County
